,store,store_type,assortment,date,dataset,sales,predictions,error,error_rate
130,171,a,basic,2015-09-17,forecast,,8466.649,,
131,172,a,basic,2015-09-17,forecast,,7165.3345,,
132,174,a,basic,2015-09-17,forecast,,5975.6914,,
133,175,c,basic,2015-09-17,forecast,,5757.0757,,
134,176,a,basic,2015-09-17,forecast,,5382.382,,
135,179,a,extended,2015-09-17,forecast,,7136.007,,
136,180,d,basic,2015-09-17,forecast,,7585.285,,
137,181,a,basic,2015-09-17,forecast,,6954.1895,,
138,182,d,extended,2015-09-17,forecast,,5876.1445,,
139,183,a,basic,2015-09-17,forecast,,4742.5654,,
140,184,d,extended,2015-09-17,forecast,,6498.081,,
141,186,a,basic,2015-09-17,forecast,,3987.6924,,
142,187,a,extended,2015-09-17,forecast,,6245.5894,,
143,188,d,basic,2015-09-17,forecast,,5237.1196,,
144,189,d,basic,2015-09-17,forecast,,9154.415,,
145,190,a,basic,2015-09-17,forecast,,7741.214,,
146,191,a,basic,2015-09-17,forecast,,6859.641,,
147,192,d,extended,2015-09-17,forecast,,10585.581,,
148,193,a,basic,2015-09-17,forecast,,5385.7666,,
149,194,d,extended,2015-09-17,forecast,,5234.6323,,
150,195,a,extended,2015-09-17,forecast,,10553.122,,
151,197,c,basic,2015-09-17,forecast,,7085.952,,
152,199,d,extended,2015-09-17,forecast,,9149.964,,
153,200,a,basic,2015-09-17,forecast,,8411.73,,
154,201,d,basic,2015-09-17,forecast,,5902.0063,,
155,202,d,extended,2015-09-17,forecast,,6530.833,,
156,204,a,basic,2015-09-17,forecast,,6102.0283,,
157,206,a,extended,2015-09-17,forecast,,8191.582,,
158,207,a,basic,2015-09-17,forecast,,11338.118,,
159,209,a,extended,2015-09-17,forecast,,6275.1655,,
160,210,d,basic,2015-09-17,forecast,,3701.3057,,
161,212,a,extended,2015-09-17,forecast,,5031.999,,
162,213,d,extended,2015-09-17,forecast,,8477.349,,
163,214,d,basic,2015-09-17,forecast,,9397.048,,
164,215,d,basic,2015-09-17,forecast,,6836.7534,,
165,216,c,basic,2015-09-17,forecast,,7242.4067,,
166,217,c,basic,2015-09-17,forecast,,4643.3027,,
167,218,a,extended,2015-09-17,forecast,,5828.3457,,
168,219,a,basic,2015-09-17,forecast,,3498.237,,
169,220,a,basic,2015-09-17,forecast,,5315.53,,
170,221,d,extended,2015-09-17,forecast,,6460.4634,,
171,224,d,extended,2015-09-17,forecast,,7017.857,,
172,226,a,basic,2015-09-17,forecast,,7297.519,,
173,227,a,basic,2015-09-17,forecast,,6142.432,,
174,228,d,extended,2015-09-17,forecast,,8446.622,,
175,229,d,extended,2015-09-17,forecast,,9880.557,,
176,230,d,extended,2015-09-17,forecast,,8134.9155,,
177,231,d,extended,2015-09-17,forecast,,5209.8354,,
178,233,a,basic,2015-09-17,forecast,,9285.715,,
179,234,d,basic,2015-09-17,forecast,,10977.518,,
180,235,a,basic,2015-09-17,forecast,,6367.675,,
181,238,a,basic,2015-09-17,forecast,,8017.172,,
182,239,d,extended,2015-09-17,forecast,,5186.339,,
183,241,d,extended,2015-09-17,forecast,,6375.1074,,
184,242,d,basic,2015-09-17,forecast,,4798.7876,,
185,243,a,basic,2015-09-17,forecast,,7583.8745,,
186,244,d,basic,2015-09-17,forecast,,6553.3467,,
187,245,a,extended,2015-09-17,forecast,,8727.464,,
188,246,c,basic,2015-09-17,forecast,,7596.877,,
189,247,d,extended,2015-09-17,forecast,,9248.478,,
190,248,a,extended,2015-09-17,forecast,,8790.848,,
191,249,d,extended,2015-09-17,forecast,,5741.983,,
192,250,d,basic,2015-09-17,forecast,,8678.249,,
193,251,a,extended,2015-09-17,forecast,,18382.682,,
194,252,d,extended,2015-09-17,forecast,,11242.014,,
195,253,a,extended,2015-09-17,forecast,,5902.254,,
196,254,d,basic,2015-09-17,forecast,,4298.163,,
197,255,c,extended,2015-09-17,forecast,,7057.5757,,
198,256,a,extended,2015-09-17,forecast,,9914.71,,
199,258,a,basic,2015-09-17,forecast,,6173.138,,
200,259,b,extra,2015-09-17,forecast,,11330.41,,
201,262,b,basic,2015-09-17,forecast,,19132.951,,
202,263,a,extended,2015-09-17,forecast,,4077.3196,,
203,265,a,basic,2015-09-17,forecast,,5121.11,,
204,267,c,basic,2015-09-17,forecast,,9902.6045,,
205,268,a,basic,2015-09-17,forecast,,5219.4653,,
206,269,a,extended,2015-09-17,forecast,,8765.705,,
207,272,a,basic,2015-09-17,forecast,,7253.3916,,
208,273,a,extended,2015-09-17,forecast,,7116.9136,,
209,274,b,extra,2015-09-17,forecast,,4091.6616,,
210,275,d,basic,2015-09-17,forecast,,7376.6743,,
211,277,d,extended,2015-09-17,forecast,,6352.3574,,
212,278,a,extended,2015-09-17,forecast,,7762.671,,
213,279,d,extended,2015-09-17,forecast,,9538.365,,
214,280,d,extended,2015-09-17,forecast,,6998.4253,,
215,281,d,extended,2015-09-17,forecast,,6408.248,,
216,283,a,basic,2015-09-17,forecast,,7098.677,,
217,284,d,basic,2015-09-17,forecast,,5261.8804,,
218,285,a,basic,2015-09-17,forecast,,4765.2563,,
219,287,c,basic,2015-09-17,forecast,,8239.082,,
220,288,d,basic,2015-09-17,forecast,,5788.7925,,
221,289,d,basic,2015-09-17,forecast,,6796.028,,
222,290,a,basic,2015-09-17,forecast,,7999.2983,,
223,294,a,basic,2015-09-17,forecast,,6385.9766,,
224,295,a,basic,2015-09-17,forecast,,5997.304,,
225,296,a,basic,2015-09-17,forecast,,7793.3467,,
226,297,a,basic,2015-09-17,forecast,,7713.847,,
227,298,d,basic,2015-09-17,forecast,,9238.55,,
228,299,d,extended,2015-09-17,forecast,,6691.6323,,
229,300,a,extended,2015-09-17,forecast,,9127.336,,
230,301,a,extended,2015-09-17,forecast,,5847.138,,
231,302,d,extended,2015-09-17,forecast,,4150.6562,,
232,303,a,basic,2015-09-17,forecast,,6947.1685,,
233,304,a,basic,2015-09-17,forecast,,7041.539,,
234,305,c,extended,2015-09-17,forecast,,6582.496,,
235,306,a,basic,2015-09-17,forecast,,4812.87,,
236,308,a,basic,2015-09-17,forecast,,10012.553,,
237,309,d,basic,2015-09-17,forecast,,7562.111,,
238,310,a,extended,2015-09-17,forecast,,9138.991,,
239,311,a,extended,2015-09-17,forecast,,7319.715,,
240,312,d,basic,2015-09-17,forecast,,6023.6587,,
241,314,a,basic,2015-09-17,forecast,,5835.015,,
242,315,a,extended,2015-09-17,forecast,,4451.0894,,
243,316,d,basic,2015-09-17,forecast,,10919.625,,
244,317,d,basic,2015-09-17,forecast,,5774.2725,,
245,319,a,extended,2015-09-17,forecast,,8370.608,,
246,320,a,extended,2015-09-17,forecast,,15333.0,,
247,323,d,extended,2015-09-17,forecast,,7959.912,,
248,325,a,extended,2015-09-17,forecast,,8104.967,,
249,326,d,basic,2015-09-17,forecast,,5746.7554,,
250,328,a,basic,2015-09-17,forecast,,5232.376,,
251,329,a,basic,2015-09-17,forecast,,8521.708,,
252,330,a,extended,2015-09-17,forecast,,4409.0767,,
253,331,a,extended,2015-09-17,forecast,,5595.588,,
254,333,a,extended,2015-09-17,forecast,,10852.854,,
255,334,d,extended,2015-09-17,forecast,,6257.0376,,
256,335,b,basic,2015-09-17,forecast,,15875.102,,
257,336,a,basic,2015-09-17,forecast,,14626.814,,
258,337,d,extended,2015-09-17,forecast,,5706.183,,
259,338,a,extended,2015-09-17,forecast,,7117.789,,
260,339,a,extended,2015-09-17,forecast,,5521.2515,,
261,340,a,extended,2015-09-17,forecast,,6523.804,,
262,341,a,basic,2015-09-17,forecast,,5974.5005,,
263,342,d,extended,2015-09-17,forecast,,11104.905,,
264,343,d,basic,2015-09-17,forecast,,8437.186,,
265,344,a,extended,2015-09-17,forecast,,9965.384,,
266,345,a,basic,2015-09-17,forecast,,4661.5825,,
267,346,a,extended,2015-09-17,forecast,,6888.8315,,
268,347,d,extended,2015-09-17,forecast,,5474.85,,
269,348,a,basic,2015-09-17,forecast,,9172.21,,
270,350,d,basic,2015-09-17,forecast,,7118.013,,
271,351,a,basic,2015-09-17,forecast,,6269.177,,
272,352,d,extended,2015-09-17,forecast,,6861.899,,
273,353,b,extra,2015-09-17,forecast,,6652.9575,,
274,354,d,extended,2015-09-17,forecast,,9044.119,,
275,355,a,extended,2015-09-17,forecast,,10170.524,,
276,356,d,extended,2015-09-17,forecast,,6615.749,,
277,358,a,basic,2015-09-17,forecast,,11333.62,,
278,359,d,extended,2015-09-17,forecast,,6615.1562,,
279,362,c,extended,2015-09-17,forecast,,9368.224,,
280,364,a,extended,2015-09-17,forecast,,5421.392,,
281,365,c,basic,2015-09-17,forecast,,5470.2305,,
282,367,d,extended,2015-09-17,forecast,,5660.792,,
283,368,d,extended,2015-09-17,forecast,,12132.178,,
284,369,d,extended,2015-09-17,forecast,,6742.67,,
285,370,d,basic,2015-09-17,forecast,,9178.047,,
286,371,d,extended,2015-09-17,forecast,,7531.677,,
287,372,d,extended,2015-09-17,forecast,,9773.334,,
288,373,d,extended,2015-09-17,forecast,,4611.597,,
289,377,a,extended,2015-09-17,forecast,,8803.795,,
290,378,a,extended,2015-09-17,forecast,,7129.279,,
291,379,d,basic,2015-09-17,forecast,,3977.1582,,
292,380,a,basic,2015-09-17,forecast,,15416.214,,
293,383,a,extended,2015-09-17,forecast,,17513.918,,
294,385,d,basic,2015-09-17,forecast,,7523.4775,,
295,386,d,extended,2015-09-17,forecast,,7692.819,,
296,387,c,basic,2015-09-17,forecast,,9377.682,,
297,388,a,basic,2015-09-17,forecast,,10221.822,,
298,389,a,extended,2015-09-17,forecast,,11722.318,,
299,391,a,basic,2015-09-17,forecast,,5956.9346,,
300,392,a,basic,2015-09-17,forecast,,7238.1597,,
301,393,d,extended,2015-09-17,forecast,,6080.189,,
302,394,d,basic,2015-09-17,forecast,,8321.51,,
303,395,a,basic,2015-09-17,forecast,,4550.148,,
304,397,a,extended,2015-09-17,forecast,,6046.1025,,
305,398,c,extended,2015-09-17,forecast,,5996.7666,,
306,399,a,basic,2015-09-17,forecast,,5800.4326,,
307,403,a,basic,2015-09-17,forecast,,7837.94,,
308,404,a,extended,2015-09-17,forecast,,5096.807,,
309,405,a,basic,2015-09-17,forecast,,5217.3003,,
310,406,d,extended,2015-09-17,forecast,,7919.277,,
311,407,a,basic,2015-09-17,forecast,,4474.4517,,
312,408,c,basic,2015-09-17,forecast,,4768.776,,
313,409,d,extended,2015-09-17,forecast,,5817.97,,
314,410,c,basic,2015-09-17,forecast,,7728.1045,,
315,411,d,extended,2015-09-17,forecast,,9144.624,,
316,412,d,extended,2015-09-17,forecast,,8723.161,,
317,413,a,extended,2015-09-17,forecast,,7464.3735,,
318,414,d,extended,2015-09-17,forecast,,6704.806,,
319,415,d,extended,2015-09-17,forecast,,6346.2285,,
320,416,a,extended,2015-09-17,forecast,,11769.561,,
321,417,a,extended,2015-09-17,forecast,,7770.5825,,
322,418,a,basic,2015-09-17,forecast,,6336.1396,,
323,420,d,extended,2015-09-17,forecast,,4808.7036,,
324,421,c,extended,2015-09-17,forecast,,9138.12,,
325,422,a,extended,2015-09-17,forecast,,4539.921,,
326,424,d,extended,2015-09-17,forecast,,7204.9116,,
327,425,d,extended,2015-09-17,forecast,,3392.6865,,
328,426,a,basic,2015-09-17,forecast,,5123.5386,,
329,427,a,extended,2015-09-17,forecast,,8708.796,,
330,428,d,basic,2015-09-17,forecast,,6240.5337,,
331,429,d,extended,2015-09-17,forecast,,6059.641,,
332,430,d,extended,2015-09-17,forecast,,8730.036,,
333,431,d,extended,2015-09-17,forecast,,9502.843,,
334,432,a,basic,2015-09-17,forecast,,11987.757,,
335,433,a,extended,2015-09-17,forecast,,5984.0933,,
336,434,a,basic,2015-09-17,forecast,,10183.959,,
337,435,a,basic,2015-09-17,forecast,,3272.6577,,
338,440,d,basic,2015-09-17,forecast,,5702.2544,,
339,441,d,basic,2015-09-17,forecast,,6261.438,,
340,442,c,basic,2015-09-17,forecast,,4610.6294,,
341,445,a,basic,2015-09-17,forecast,,8186.529,,
342,446,a,basic,2015-09-17,forecast,,5837.487,,
343,447,a,extended,2015-09-17,forecast,,5594.0615,,
344,448,a,extended,2015-09-17,forecast,,9331.945,,
345,449,a,extended,2015-09-17,forecast,,11683.922,,
346,450,c,basic,2015-09-17,forecast,,11416.757,,
347,451,a,basic,2015-09-17,forecast,,6746.5166,,
348,452,a,extended,2015-09-17,forecast,,5703.903,,
349,453,a,extended,2015-09-17,forecast,,8158.9497,,
350,455,d,extended,2015-09-17,forecast,,7622.578,,
351,456,a,extended,2015-09-17,forecast,,6420.9556,,
352,457,d,extended,2015-09-17,forecast,,5293.813,,
353,458,c,basic,2015-09-17,forecast,,7106.759,,
354,459,a,basic,2015-09-17,forecast,,10593.156,,
355,461,d,extended,2015-09-17,forecast,,5603.1987,,
356,463,a,basic,2015-09-17,forecast,,6192.8066,,
357,465,d,extended,2015-09-17,forecast,,8450.748,,
358,466,a,extended,2015-09-17,forecast,,8880.064,,
359,467,a,extended,2015-09-17,forecast,,14111.285,,
360,468,c,extended,2015-09-17,forecast,,5988.239,,
361,470,a,extended,2015-09-17,forecast,,14224.234,,
362,471,d,basic,2015-09-17,forecast,,7319.7915,,
363,472,c,extended,2015-09-17,forecast,,5561.0664,,
364,473,a,basic,2015-09-17,forecast,,3960.9421,,
365,475,a,basic,2015-09-17,forecast,,6780.8438,,
366,477,d,basic,2015-09-17,forecast,,6756.3438,,
367,481,c,extended,2015-09-17,forecast,,5634.8154,,
368,484,a,extended,2015-09-17,forecast,,8163.6904,,
369,485,d,extended,2015-09-17,forecast,,5051.505,,
370,486,a,basic,2015-09-17,forecast,,4734.023,,
371,487,d,extended,2015-09-17,forecast,,8051.088,,
372,488,a,extended,2015-09-17,forecast,,3818.006,,
373,490,a,basic,2015-09-17,forecast,,8042.185,,
374,491,d,extended,2015-09-17,forecast,,7010.2637,,
375,492,a,basic,2015-09-17,forecast,,8321.533,,
376,493,d,extended,2015-09-17,forecast,,8761.927,,
377,495,d,basic,2015-09-17,forecast,,5818.3643,,
378,497,a,extended,2015-09-17,forecast,,9085.386,,
379,498,a,basic,2015-09-17,forecast,,6427.7573,,
380,499,c,extended,2015-09-17,forecast,,5399.4487,,
381,500,d,extended,2015-09-17,forecast,,5771.4863,,
382,501,a,extended,2015-09-17,forecast,,5737.346,,
383,502,a,basic,2015-09-17,forecast,,11581.782,,
384,504,c,extended,2015-09-17,forecast,,6459.1016,,
385,505,a,basic,2015-09-17,forecast,,5007.536,,
386,506,a,basic,2015-09-17,forecast,,8000.6187,,
387,507,a,extended,2015-09-17,forecast,,10828.824,,
388,508,a,extended,2015-09-17,forecast,,7157.2334,,
389,509,a,basic,2015-09-17,forecast,,6995.2954,,
390,510,a,extended,2015-09-17,forecast,,8388.575,,
391,511,a,basic,2015-09-17,forecast,,5834.948,,
392,512,b,extra,2015-09-17,forecast,,5878.32,,
393,514,c,extended,2015-09-17,forecast,,6645.1377,,
394,515,d,extended,2015-09-17,forecast,,9160.87,,
395,516,a,extended,2015-09-17,forecast,,7024.5005,,
396,517,a,extended,2015-09-17,forecast,,6055.903,,
397,518,d,extended,2015-09-17,forecast,,6596.8076,,
398,519,c,extended,2015-09-17,forecast,,6333.6562,,
399,520,a,extended,2015-09-17,forecast,,3967.6355,,
400,521,d,basic,2015-09-17,forecast,,6098.031,,
401,522,d,extended,2015-09-17,forecast,,8983.638,,
402,524,a,extended,2015-09-17,forecast,,9830.773,,
403,527,d,extended,2015-09-17,forecast,,11185.65,,
404,528,a,extended,2015-09-17,forecast,,11769.291,,
405,529,d,extended,2015-09-17,forecast,,8314.29,,
406,530,a,extended,2015-09-17,forecast,,5544.8374,,
407,531,a,extended,2015-09-17,forecast,,4882.927,,
408,532,a,extended,2015-09-17,forecast,,11954.327,,
409,533,a,extended,2015-09-17,forecast,,9489.339,,
410,534,d,basic,2015-09-17,forecast,,8853.957,,
411,535,a,basic,2015-09-17,forecast,,8722.021,,
412,536,a,extended,2015-09-17,forecast,,8813.877,,
413,537,a,basic,2015-09-17,forecast,,7977.5303,,
414,538,a,basic,2015-09-17,forecast,,4120.045,,
415,539,a,basic,2015-09-17,forecast,,10586.803,,
416,540,d,extended,2015-09-17,forecast,,6423.179,,
417,541,a,extended,2015-09-17,forecast,,7271.4087,,
418,542,a,basic,2015-09-17,forecast,,7167.4673,,
419,543,c,basic,2015-09-17,forecast,,3320.8823,,
420,545,a,extended,2015-09-17,forecast,,12814.959,,
421,547,d,extended,2015-09-17,forecast,,6173.6978,,
422,548,d,extended,2015-09-17,forecast,,5555.611,,
423,549,a,extended,2015-09-17,forecast,,4692.361,,
424,550,d,extended,2015-09-17,forecast,,6144.5825,,
425,551,a,extended,2015-09-17,forecast,,6942.121,,
426,552,a,basic,2015-09-17,forecast,,9440.555,,
427,553,c,basic,2015-09-17,forecast,,7479.482,,
428,554,c,extended,2015-09-17,forecast,,4437.6587,,
429,555,d,basic,2015-09-17,forecast,,5406.055,,
430,557,a,basic,2015-09-17,forecast,,4334.9033,,
431,558,a,basic,2015-09-17,forecast,,3555.424,,
432,561,d,basic,2015-09-17,forecast,,7114.911,,
433,562,b,extended,2015-09-17,forecast,,17624.559,,
434,563,a,basic,2015-09-17,forecast,,5262.101,,
435,564,d,extended,2015-09-17,forecast,,5957.264,,
436,565,a,extended,2015-09-17,forecast,,7803.284,,
437,566,a,basic,2015-09-17,forecast,,5098.8643,,
438,567,c,basic,2015-09-17,forecast,,5753.0186,,
439,568,d,extended,2015-09-17,forecast,,4795.6943,,
440,570,a,basic,2015-09-17,forecast,,4428.622,,
441,571,d,basic,2015-09-17,forecast,,8876.948,,
442,572,d,extended,2015-09-17,forecast,,8129.0522,,
443,573,a,basic,2015-09-17,forecast,,4444.335,,
444,574,d,basic,2015-09-17,forecast,,8704.245,,
445,575,a,basic,2015-09-17,forecast,,6551.7407,,
446,577,a,extended,2015-09-17,forecast,,5118.8735,,
447,578,d,basic,2015-09-17,forecast,,8974.808,,
448,579,c,basic,2015-09-17,forecast,,8455.295,,
449,580,a,extended,2015-09-17,forecast,,10151.316,,
450,581,a,basic,2015-09-17,forecast,,6102.5693,,
451,582,a,basic,2015-09-17,forecast,,7307.333,,
452,584,d,basic,2015-09-17,forecast,,5021.431,,
453,585,d,extended,2015-09-17,forecast,,5682.8,,
454,586,a,extended,2015-09-17,forecast,,15243.778,,
455,587,d,extended,2015-09-17,forecast,,10991.524,,
456,588,d,extended,2015-09-17,forecast,,6756.26,,
457,589,a,extended,2015-09-17,forecast,,5732.259,,
458,590,d,extended,2015-09-17,forecast,,5520.056,,
459,591,a,extended,2015-09-17,forecast,,5888.6455,,
460,592,a,basic,2015-09-17,forecast,,5311.992,,
461,593,a,extended,2015-09-17,forecast,,11298.921,,
462,597,a,basic,2015-09-17,forecast,,6450.2114,,
463,598,c,basic,2015-09-17,forecast,,6393.339,,
464,600,d,extended,2015-09-17,forecast,,8037.331,,
465,601,d,basic,2015-09-17,forecast,,5531.8257,,
466,602,a,basic,2015-09-17,forecast,,7329.852,,
467,603,a,basic,2015-09-17,forecast,,8125.13,,
468,604,d,basic,2015-09-17,forecast,,7968.017,,
469,605,d,basic,2015-09-17,forecast,,8395.531,,
470,610,a,basic,2015-09-17,forecast,,4806.5664,,
471,611,a,basic,2015-09-17,forecast,,6350.4126,,
472,612,d,extended,2015-09-17,forecast,,7291.431,,
473,615,d,basic,2015-09-17,forecast,,9756.877,,
474,616,a,extended,2015-09-17,forecast,,9381.797,,
475,618,d,extended,2015-09-17,forecast,,6633.3843,,
476,619,a,basic,2015-09-17,forecast,,4875.438,,
477,620,d,extended,2015-09-17,forecast,,7711.045,,
478,621,a,basic,2015-09-17,forecast,,6890.264,,
479,622,a,extended,2015-09-17,forecast,,4502.2246,,
480,623,a,basic,2015-09-17,forecast,,8187.0986,,
481,624,a,extended,2015-09-17,forecast,,7860.0845,,
482,625,a,basic,2015-09-17,forecast,,7119.534,,
483,627,c,extended,2015-09-17,forecast,,6542.773,,
484,628,a,extended,2015-09-17,forecast,,6281.843,,
485,629,d,basic,2015-09-17,forecast,,7458.481,,
486,631,d,extended,2015-09-17,forecast,,5336.7046,,
487,632,a,basic,2015-09-17,forecast,,7365.559,,
488,633,d,basic,2015-09-17,forecast,,7530.8438,,
489,636,c,basic,2015-09-17,forecast,,7105.7285,,
490,637,d,extended,2015-09-17,forecast,,9743.672,,
